"SourcePath","IsShortcut","ShortcutTarget","Exists","SizeBytes","Hash","Instrument","IsBand","ProposedPath","DuplicateGroupId","IsInConsolidated","ProposedAction"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\001-Piano\001-Piano,Acoustic,NewOrleans[SN0944].mp3","False",,"True","183944","47288188851C93FDF4A3A69530F89CBCDAB42595","001-Piano","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\001-Piano\001-Piano,Acoustic,NewOrleans[SN0944].mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\005-Piano\005-Piano,Electric,VintageSoulJazz[SN1006].mp3","False",,"True","143465","12D9DC342709B3066D3ECF434333D6EE9DD1B1BC","005-Piano","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\005-Piano\005-Piano,Electric,VintageSoulJazz[SN1006].mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\023-Harmonica\023-Harmonica,OverdriveGrittyBlues[SN0930].mp3","False",,"True","210130","24B48E85FD9775BE57F6C567F4DEECD11EEF8DAB","023-Harmonica","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\023-Harmonica\023-Harmonica,OverdriveGrittyBlues[SN0930].mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\023-Harmonica\023-Harmonica,OverdriveGrittyBlues[SN0930][DI].mp3","False",,"True","271705","4097A8DBA768F180FB5194AAEA9F3C7C785BCE7E","023-Harmonica","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\023-Harmonica\023-Harmonica,OverdriveGrittyBlues[SN0930][DI].mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Bouzouki\026-Bouzouki,Americana[SN1008].mp3","False",,"True","184990","EB6DC42D31B806E4C6B406B4B8BCE8EC88719C29","026-Bouzouki","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Bouzouki\026-Bouzouki,Americana[SN1008].mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Guitar\026-Guitar,Acoustic,Americana[SN1007].mp3","False",,"True","184853","5C5CB683F0F8608FBD9E594E3E2D94C309FCE9E5","026-Guitar","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Guitar\026-Guitar,Acoustic,Americana[SN1007].mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Guitar\026-Guitar,Acoustic,Folk[SN0875].mp3","False",,"True","226737","74E466077CDC4DDE492568CA14D7DA7A6F395D84","026-Guitar","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Guitar\026-Guitar,Acoustic,Folk[SN0875].mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Guitar\026-Guitar,Acoustic,GypsyJazz[SN0366].mp3","False",,"True","236231","C2A0D9659B0D45768E2CD87F3A82770E9E524235","026-Guitar","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Guitar\026-Guitar,Acoustic,GypsyJazz[SN0366].mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Guitar\026-Guitar,Acoustic,GypsyJazz[SN0366][DI].mp3","False",,"True","299741","D053B211CE0C75D210CF2A8DF8AEA019A624E92C","026-Guitar","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Guitar\026-Guitar,Acoustic,GypsyJazz[SN0366][DI].mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Guitar\026-Guitar,Acoustic,IndieFolkFingerpicking2[SN0953].mp3","False",,"True","251599","5C45C526FF5B71F12469A0E891F55887E79082EA","026-Guitar","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Guitar\026-Guitar,Acoustic,IndieFolkFingerpicking2[SN0953].mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Mandolin\026-Mandolin,Americana[SN1010].mp3","False",,"True","194158","F4FFA0B8787D93693956CC7A1674EF955FF4803E","026-Mandolin","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\026-Mandolin\026-Mandolin,Americana[SN1010].mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\028-Guitar\028-Guitar,BaritoneElectric,Clean,VintageCountry[SN1015].mp3","False",,"True","212769","004400AF372AD4A5D65207A048F491634A0AE2D5","028-Guitar","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\028-Guitar\028-Guitar,BaritoneElectric,Clean,VintageCountry[SN1015].mp3",,"True","Keep"
